Year,Hour,From,To,Fuel,value
2040,97,DK,DE,H2,0.9494991853333326
2050,67,FR,DE,Power,17.01610532851097
2020,60,DK,DE,H2,3.9146672338333337
2020,58,FR,DE,Power,0.3226603434366408
2030,82,FR,DE,H2,3.946876830637718
2050,112,UK,FR,Power,11.689394376460827
2020,58,UK,NO,H2,0.7471146121989791
2040,43,FR,DE,H2,3.840738971500002
2020,84,UK,FR,H2,5.0
2050,56,FR,DE,H2,12.77237168900545
2050,116,UK,FR,H2,28.852502783440684
2030,82,DK,DE,H2,1.0648256408622814
2020,113,UK,FR,H2,5.0
2040,43,DK,DE,H2,1.2797196218946105
2050,49,FR,DE,H2,2.71286663833334
2030,2,DK,DE,H2,1.9602541911666669
2030,118,DK,NO,H2,1.8007232806666664
2050,49,DK,DE,H2,4.6631712566666685
2040,97,UK,FR,H2,5.167181386333333
2050,1,DK,DE,H2,19.53125
2050,86,NO,DK,Power,3.2882092445602384
2050,102,FR,DE,Power,27.19957525083332
2020,82,FR,DE,H2,0.6077092600000009
2020,78,DK,DE,H2,3.827787007833332
2030,120,NO,UK,H2,2.2581999103333334
2040,116,UK,FR,Power,3.7951283216654548
2050,14,NO,DK,H2,12.786458333333334
2050,85,NO,DK,Power,1.2019877518359159
2030,82,UK,FR,H2,3.8075760478043854
2030,108,FR,UK,H2,0.21319417700000187
2040,43,UK,FR,H2,11.473046447333333
2050,114,DK,DE,H2,16.626634816088593
2040,50,DK,NO,H2,3.837812624333335
2030,2,UK,FR,H2,7.5
2050,49,UK,FR,H2,6.312500000000009
2020,50,DE,FR,Power,0.6072807087906098
2030,97,DK,DE,H2,1.0793518261666653
2030,10,UK,FR,Power,18.187895510944465
2050,18,DK,DE,H2,10.024330532499999
2040,59,FR,DE,H2,0.9908271393010395
2040,3,DK,NO,H2,3.90625
2050,92,DK,DE,H2,0.970267014166668
2050,48,FR,DE,Power,70.79654992484531
2050,103,FR,DE,Power,43.094247911911175
2050,103,UK,NO,H2,2.059870358375
2040,79,DK,DE,H2,5.145444779220492
2020,82,UK,FR,H2,4.173734324333334
2040,59,DK,DE,H2,9.813800642198961
2050,36,DK,DE,Power,15.69178944985611
2050,114,UK,FR,H2,15.586090463962774
2040,1,UK,FR,Power,0.9191758367341394
2020,2,UK,FR,H2,5.0
2030,97,UK,FR,H2,1.6777440506666625
2040,42,NO,DK,Power,1.055201133878057
2040,28,DK,NO,H2,1.2346000952500007
2040,55,DK,DE,H2,11.236506098622808
2020,16,UK,FR,Power,9.567477871393786
2050,76,FR,DE,H2,15.362253873186617
2050,23,DK,DE,Power,2.0129991794766924
2040,11,DK,NO,H2,3.90625
2040,110,DK,DE,H2,7.063232876833336
2050,92,UK,FR,H2,3.695877637044555
2020,10,UK,FR,Power,15.15657959245372
2030,24,DE,FR,H2,5.650941871499999
2030,116,UK,FR,Power,8.108759173333329
2050,4,DK,DE,H2,19.53125
2040,111,DK,DE,H2,8.799612838000002
2040,114,UK,FR,Power,20.292029908000004
2030,43,UK,FR,H2,7.5
2040,25,DK,DE,H2,4.939881898833335
2030,119,DE,FR,H2,5.916210456874273
2030,50,DK,NO,H2,7.5
2040,58,FR,DE,H2,6.832302518236785
2050,99,DK,DE,H2,17.009205180000006
2040,13,DK,DE,H2,10.863744362781665
2020,97,UK,FR,H2,4.994772437333333
2040,58,DK,DE,H2,3.154415277763219
2040,60,FR,UK,H2,5.836459304031893
2030,59,FR,DE,H2,4.3607155488460805
2050,4,UK,FR,H2,16.276041666666668
2040,16,DK,DE,H2,13.720050642198961
2020,116,UK,FR,Power,4.742639386666667
2040,25,UK,FR,H2,9.492054359833334
2040,10,DK,DE,H2,4.362332069833334
2020,43,UK,FR,H2,2.908561215333333
2050,112,DK,DE,H2,14.569899287916668
2020,119,DE,FR,H2,5.0
2030,77,DK,NO,H2,6.662038774500002
2020,50,DK,NO,H2,2.5
2040,72,DK,DE,H2,0.036731038333335686
2030,1,UK,FR,Power,13.006297898
2050,48,UK,FR,Power,53.00255673149089
2040,13,UK,FR,H2,3.123277696333334
2040,81,UK,NO,H2,3.569500984750001
2040,26,DK,DE,H2,9.750645724999998
2030,28,DK,NO,H2,2.8725723718508807
2030,110,DK,DE,H2,4.871088120166666
2050,81,FR,DE,H2,30.76286060158639
2020,59,FR,DE,H2,4.714594878920254
2030,111,DK,DE,H2,7.5
2030,114,UK,FR,Power,8.958264564333337
2040,10,UK,FR,H2,4.982448214333337
2050,101,DK,DE,Power,28.351556795920153
2050,112,UK,FR,H2,8.755135019686255
2020,79,DK,DE,H2,1.4645518843333338
2030,25,DK,DE,H2,3.090439299666666
2020,59,DK,DE,H2,2.816714128079745
2040,46,DK,DE,H2,1.8194848178333332
2040,39,DK,DE,Power,3.382354652249932
2050,89,FR,DE,H2,2.5562670546381234
2030,58,FR,DE,H2,0.8721511450000037
2020,1,UK,FR,Power,1.2880354346666607
2040,26,UK,FR,H2,0.6951667153333307
2050,89,DK,DE,H2,9.302807324791665
2020,28,DK,NO,H2,2.5
2020,55,DK,DE,H2,5.0
2020,110,DK,DE,H2,1.3351924478333326
2030,25,UK,FR,H2,2.916666666666666
2020,111,DK,DE,H2,5.0
2030,10,DK,DE,H2,2.219251193166666
2020,114,UK,FR,Power,5.186952950666665
2040,46,UK,FR,H2,8.743128466153966
2050,31,UK,NO,H2,32.48184339184212
2040,66,DK,DE,H2,0.16770902433333346
2030,120,DE,FR,H2,7.5
2020,25,DK,DE,H2,0.6527199268333332
2040,116,UK,FR,H2,13.020833333333334
2040,32,UK,FR,H2,1.4254373573333368
2050,91,DK,DE,H2,2.9878385279166637
2020,58,FR,DE,H2,5.0
2040,56,DK,DE,H2,0.49209890749999907
2030,69,DE,FR,H2,7.5
2050,89,UK,FR,H2,18.83230872130479
2030,26,DK,DE,H2,7.321037618666667
2050,104,FR,DE,Power,11.897201728705692
2050,19,DK,DE,H2,4.4218291712500015
2050,7,DK,DE,H2,19.53125
2040,49,DK,DE,H2,4.3357317243333355
2050,8,NO,DK,H2,8.887416212562501
2030,68,UK,FR,H2,5.846113118666667
2020,110,UK,FR,H2,3.456620521333334
2050,36,NO,DK,H2,3.2552083333333335
2030,16,UK,FR,H2,0.6235077278063446
2050,105,FR,DE,H2,6.49687602616666
2050,5,NO,DK,H2,8.887416212562501
2020,111,UK,FR,H2,5.0
2030,10,UK,FR,H2,7.5
2020,25,UK,FR,H2,5.0
2050,73,FR,DE,H2,4.196394028333337
2030,46,DK,DE,H2,0.864256721166667
2050,105,DK,DE,H2,13.03437397383334
2030,72,UK,FR,H2,7.5
2020,120,DE,FR,H2,5.0
2050,91,UK,FR,H2,4.206417715416665
2030,116,DK,DE,H2,6.208587846666665
2050,102,FR,DE,H2,19.53125
2040,89,UK,FR,Power,1.1251563163719815
2030,26,UK,FR,H2,7.5
2040,114,DK,DE,H2,0.3585899763333331
2050,73,DK,DE,H2,4.798385076666669
2020,117,DE,FR,H2,1.318738436091241
2050,19,UK,FR,H2,10.53970680171751
2020,81,FR,DE,Power,0.16632094177777093
2030,100,DK,DE,Power,8.812391292807414
2020,81,UK,NO,H2,2.5
2020,26,DK,DE,H2,3.4868338528333336
2040,49,UK,FR,H2,5.722705799833333
2050,71,FR,DE,Power,17.262746296571134
2040,1,UK,FR,H2,13.020833333333334
2020,16,UK,FR,H2,3.617664648385027
2050,37,FR,DE,H2,19.53125
2040,18,DK,DE,H2,11.05454012783332
2020,78,FR,UK,H2,1.2155796477522645
2040,92,DK,DE,H2,4.639801978333335
2020,10,UK,FR,H2,5.0
2030,46,UK,FR,H2,5.601547987666667
2040,91,UK,FR,Power,2.287693551686626
2030,116,UK,FR,H2,7.5
2020,72,UK,FR,H2,5.0
2040,114,UK,FR,H2,13.020833333333334
2020,116,DK,DE,H2,1.049718886333333
2050,20,DK,DE,H2,19.53125
2050,27,DK,DE,H2,11.409588424583335
2050,48,FR,DE,H2,9.020248072249961
2020,26,UK,FR,H2,5.0
2050,103,FR,DE,H2,19.53125
2050,102,UK,FR,H2,4.52093692874999
2030,118,DE,FR,H2,2.916666666666666
2020,100,DK,DE,Power,9.650012156666667
2030,49,DK,DE,H2,2.020120438166668
2030,38,UK,FR,H2,7.5
2030,1,DK,DE,H2,6.420476035500004
2050,48,DK,DE,H2,1.1534660274999937
2040,92,UK,FR,H2,9.419570095833334
2030,102,FR,DE,Power,1.7744806052220987
2030,102,UK,NO,H2,3.125
2030,66,UK,FR,H2,5.744816378166666
2050,37,UK,FR,H2,33.085939559945125
2050,63,FR,DE,Power,8.118985999711402
2020,46,UK,FR,H2,5.0
2040,76,DK,DE,H2,4.137114916999991
2020,116,UK,FR,H2,5.0
2050,70,DK,DE,H2,2.192708333333329
2050,97,NO,DK,Power,0.9682291381279025
2020,32,UK,FR,H2,3.2411471123333335
2040,30,DK,NO,H2,2.6850188875
2020,56,DK,DE,H2,2.88896321942166
2050,83,FR,DE,H2,13.015546656
2040,99,DK,DE,H2,9.329147473500004
2030,49,UK,FR,H2,7.5
2030,1,UK,FR,H2,2.916666666666666
2020,118,DE,FR,H2,5.0
2030,78,DK,NO,H2,7.325352052166664
2020,49,DK,DE,H2,0.45172261933333346
2020,38,UK,FR,H2,5.0
2050,103,UK,FR,H2,4.917618462874999
2020,1,DK,DE,H2,1.8094177260000013
2040,3,DK,NO,Power,1.71210036866667
2050,43,NO,DK,Power,6.584065954624998
2050,87,FR,DE,H2,7.074472411020837
2030,18,DK,DE,H2,2.2827510346666657
2040,3,DE,FR,H2,1.8208867315
2050,12,DK,DE,Power,32.05007069871452
2030,92,DK,DE,H2,3.233249374166667
2040,37,UK,FR,Power,8.549247359622797
2030,103,UK,NO,H2,3.125
2050,87,DK,DE,H2,9.016107578979165
2050,9,DK,DE,Power,40.36525371721286
2030,114,UK,FR,H2,7.5
2040,98,DK,DE,Power,13.409517736867736
2040,112,DK,DE,H2,7.995120198833332
2050,99,FR,UK,H2,2.6968270358333353
2050,47,FR,DE,Power,50.29843226194597
2040,99,UK,FR,H2,3.755906935833341
2020,49,UK,FR,H2,5.0
2050,34,UK,NO,H2,2.671239012687501
2020,1,UK,FR,H2,5.0
2050,115,NO,DK,H2,4.781353329286409
2050,83,UK,FR,H2,23.624904119166672
2040,11,DK,NO,Power,3.816293059745745
2030,18,UK,FR,H2,2.916666666666666
2030,92,UK,FR,H2,3.631329602666666
2050,106,DK,DE,H2,13.595232372916664
2050,61,FR,DE,H2,16.654214364586878
2040,81,FR,DE,H2,7.699626703666668
2020,92,DK,DE,H2,1.0019662343333329
2030,59,FR,UK,H2,7.5
2050,87,UK,FR,H2,19.134828017187502
2040,101,DK,DE,Power,8.889874644293338
2040,112,UK,FR,H2,5.581623127333332
2050,42,DK,DE,Power,9.393185145494433
2030,50,DK,NO,Power,0.3693819753733843
2050,61,DK,DE,H2,2.877035635413123
2040,81,DK,DE,H2,4.109889634833332
2030,30,DK,NO,H2,7.5
2020,114,UK,FR,H2,5.0
2030,99,DK,DE,H2,7.5
2030,55,FR,UK,H2,7.5
2040,83,UK,FR,Power,21.03775018662802
2040,89,DK,DE,H2,4.673121314833333
2050,106,UK,FR,H2,4.775935277916664
2020,18,UK,FR,H2,2.678038353833326
2030,3,DE,FR,H2,2.916666666666666
2050,45,DK,DE,Power,12.4543952025
2040,59,DK,NO,H2,3.90625
2020,92,UK,FR,H2,5.0
2030,111,DE,FR,Power,0.16320724992693011
2040,65,DK,DE,H2,0.14034585033333258
2020,79,FR,UK,H2,2.428856635008481
2020,59,FR,UK,H2,2.6500305479686315
2030,27,UK,FR,Power,2.9217683580000084
2020,76,DK,DE,H2,4.251431971333334
2030,112,DK,DE,H2,5.600749824666666
2020,50,DK,NO,Power,2.9889994579416723
2050,41,DK,DE,Power,18.017404905501095
2020,30,DK,NO,H2,2.5
2030,99,UK,FR,H2,2.60314607716667
2020,50,DE,FR,H2,5.0
2040,91,DK,DE,H2,4.568092296833335
2030,48,UK,FR,Power,0.47802597433333816
2020,99,DK,DE,H2,5.0
2030,58,FR,UK,H2,7.5
2040,19,DK,DE,H2,0.29506247233333394
2040,7,DK,DE,H2,0.7330580278333341
2020,32,DE,DK,H2,1.6356805515000055
2050,47,UK,FR,Power,8.077012447500008
2040,36,NO,DK,H2,1.5074835014999994
2050,31,DK,DE,H2,15.362253873186617
2020,4,UK,FR,H2,5.0
2050,104,FR,DE,H2,19.53125
2030,101,DK,DE,Power,5.857374629637533
2050,100,UK,NO,H2,0.45570376343749963
2030,81,DK,DE,H2,1.4810918794999992
2050,74,UK,NO,H2,4.8828125
2040,105,DK,DE,H2,8.209332782000004
2020,112,DK,DE,H2,2.287354695833333
2040,91,UK,FR,H2,9.54134585949002
2040,58,DK,NO,H2,3.90625
2050,6,DK,DE,H2,19.53125
2020,99,UK,FR,H2,0.9874967697035961
2040,102,FR,DE,H2,15.625
2040,73,DK,DE,H2,0.9664081133333338
2020,28,DK,NO,Power,3.417971220666665
2050,7,FR,UK,H2,3.765886220999999
2020,58,FR,UK,H2,2.361517582775524
2030,89,DK,DE,H2,3.1649335881666665
2030,79,DK,NO,H2,3.7685667461199372
2030,59,DK,NO,H2,3.125
2020,81,FR,DE,H2,5.0
2020,112,UK,FR,H2,5.0
2040,26,DK,NO,H2,0.8058981748333327
2020,81,DK,DE,H2,0.458183060655033
2040,37,DK,DE,H2,1.7489278095389014
2030,55,DK,NO,H2,7.5
2050,6,UK,FR,H2,5.2592500497637324
2030,21,DE,FR,H2,7.5
2030,91,DK,DE,H2,3.1369689526666673
2040,20,DK,DE,H2,8.863111334000001
2040,27,DK,DE,H2,8.337677051500023
2050,12,NO,DK,H2,3.2552083333333335
2040,103,FR,DE,H2,15.625
2040,102,UK,FR,H2,5.657175166833333
2020,89,DK,DE,H2,0.924034982833333
2050,88,NO,DK,H2,9.32393125001596e-5
2030,111,DK,NO,H2,1.6610632710000006
2050,9,NO,DK,H2,8.887416212562501
2030,36,NO,DK,H2,1.3922747335000007
2020,79,DK,NO,H2,1.4825992559999994
2020,59,DK,NO,H2,2.5
2040,32,DK,NO,H2,3.90625
2050,17,DK,DE,H2,1.9296299575000018
2040,37,UK,FR,H2,4.719186007521939
2030,105,DK,DE,H2,7.5
2050,39,UK,FR,Power,1.4629452225000028
2030,91,UK,FR,H2,3.961196754166666
2030,56,FR,UK,H2,7.5
2030,58,DK,NO,H2,3.0961466154999995
2020,55,DK,NO,H2,1.3399337520000003
2050,38,NO,DK,Power,12.095436065624998
2040,27,UK,FR,H2,11.077527099333336
2030,102,FR,DE,H2,7.5
2020,91,DK,DE,H2,0.9598130338333333
2030,73,DK,DE,H2,0.6505358426666668
2030,19,UK,FR,H2,2.916666666666666
2030,67,UK,FR,H2,2.575737169833325
2050,29,UK,NO,H2,6.977488821249999
2040,48,UK,FR,H2,9.437429831333334
2030,102,DK,DE,H2,5.0
2050,22,DK,DE,H2,17.96704006875
2050,36,FR,DE,Power,9.502790116350937
2040,56,DK,NO,H2,5.273181197425274
2030,105,UK,FR,H2,0.43603814966666476
2040,88,DK,DE,Power,3.2987950153259367
2030,37,DK,DE,H2,1.879510156666667
2040,87,DK,DE,H2,3.6572074938333343
2020,105,DK,DE,H2,1.1229670303333341
2050,45,UK,NO,Power,5.719193979982047
2020,91,UK,FR,H2,1.7658656813333335
2020,56,FR,UK,H2,1.1581621686666699
2030,73,UK,FR,H2,7.5
2020,58,DK,NO,H2,1.7528853878010209
2030,20,DK,DE,H2,6.577425086666667
2040,1,DK,NO,H2,3.90625
2030,27,DK,DE,H2,7.5
2050,35,DK,DE,Power,7.077253282714622
2020,19,UK,FR,H2,1.9302254078333299
2030,103,FR,DE,H2,7.5
2030,102,UK,FR,H2,3.338958501666662
2050,22,UK,FR,H2,8.235501287782506
2040,34,UK,NO,H2,1.3370853905000004
2050,40,DK,DE,Power,10.040943882499997
2020,102,DK,DE,H2,2.9063424143333325
2050,47,FR,DE,H2,19.53125
2030,103,DK,DE,H2,2.9242556819999983
2050,14,DK,DE,H2,19.53125
2040,106,DK,DE,H2,6.150681173833332
2030,32,DK,NO,H2,3.8442476237417975
2050,34,FR,DE,H2,9.685723750416674
2030,37,UK,FR,H2,7.5
2040,87,UK,FR,H2,2.810929206833336
2020,105,UK,FR,H2,5.0
2030,20,UK,FR,H2,4.3091796936666675
2050,34,DK,DE,H2,6.245131299583331
2030,27,UK,FR,H2,2.916666666666666
2040,61,DK,DE,H2,4.7016994783333335
2020,5,DE,DK,Power,0.9806866662232853
2020,73,UK,FR,H2,5.0
2020,20,DK,DE,H2,2.943083094833333
2050,11,DK,DE,Power,13.332355605083169
2020,27,DK,DE,H2,4.833333333333333
2020,103,FR,DE,H2,1.9447356346666673
2030,48,UK,FR,H2,7.5
2020,102,UK,FR,H2,1.9010540993333347
2050,14,UK,FR,H2,16.276041666666668
2030,82,DK,NO,Power,1.6543168066087695
2020,103,DK,DE,H2,0.6078745263333334
2030,56,DK,NO,H2,1.804084654894739
2020,32,DK,NO,H2,2.5
2020,37,UK,FR,H2,5.0
2030,87,DK,DE,H2,2.3795321321666667
2050,90,UK,FR,H2,16.276041666666668
2030,2,DE,FR,H2,2.916666666666666
2050,36,UK,FR,Power,3.8688493775000126
2020,20,UK,FR,H2,5.0
2030,1,DK,NO,H2,1.0728697966666623
2020,27,UK,FR,H2,0.8242479253333341
2030,34,UK,NO,H2,3.125
2020,48,UK,FR,H2,4.645707441333333
2030,115,NO,DK,H2,2.955197347500003
2030,83,UK,FR,H2,2.716570196666664
2050,101,UK,NO,H2,0.5703210012499866
2030,106,DK,DE,H2,3.8394565856666665
2040,104,FR,DE,H2,1.288114577666665
2040,90,UK,FR,Power,5.294792736156381
2020,56,DK,NO,H2,1.8482490189999998
2040,99,DK,NO,H2,3.90625
2020,70,UK,FR,H2,5.0
2020,87,DK,DE,H2,0.15592799683333314
2030,30,DE,FR,H2,1.3127624659857986
2030,61,DK,DE,H2,3.710451836666667
2040,104,DK,DE,H2,6.860984800833334
2020,1,DK,NO,H2,1.1734324978333328
2050,74,FR,DE,H2,15.362253873186617
2020,115,NO,DK,H2,0.23231600000000086
2020,83,UK,FR,H2,5.0
2050,15,DK,DE,H2,1.348153714238343
2040,59,DK,NO,Power,2.9693343382687494
2030,106,UK,FR,H2,0.2601664391666656
2050,100,DK,DE,H2,11.409588424583335
2020,106,DK,DE,H2,1.8476924408333322
2030,81,FR,UK,H2,7.5
2020,87,UK,FR,H2,5.0
2020,117,DK,DE,Power,1.605350328666665
2050,95,UK,FR,H2,16.276041666666668
2050,57,FR,DE,H2,19.53125
2020,30,DK,NO,Power,2.401775364818854
2020,30,DE,FR,H2,3.7838527964303488
2020,61,DK,DE,H2,1.379640796333333
2050,85,NO,DK,H2,3.2925069124570427
2050,15,UK,FR,H2,16.276041666666668
2050,96,FR,DE,H2,8.577327889331016
2030,76,DK,NO,H2,7.5
2020,106,UK,FR,H2,5.0
2050,93,NO,DK,H2,0.2570140310624982
2050,108,UK,NO,Power,6.623925115704543
2030,99,DK,NO,H2,3.125
2040,17,DK,DE,H2,13.571047678
2050,60,DK,DE,Power,20.65918920915824
2040,58,DK,NO,Power,1.5349740391402236
2030,104,DK,DE,H2,2.506236853526489
2040,39,UK,FR,Power,0.6541191063924927
2030,59,DK,NO,Power,1.3175437938887642
2040,22,DK,DE,H2,6.3894785779999985
2020,76,DK,NO,H2,0.6428527035
2040,42,NO,DK,H2,0.10207934306097144
2050,96,UK,FR,H2,19.479166666666664
2050,11,NO,DK,H2,0.5165651062915884
2020,34,UK,FR,Power,0.9885027226666594
2050,115,UK,FR,Power,22.95733591916668
2030,104,UK,FR,H2,1.5249461961666668
2050,36,FR,DE,H2,19.53125
2030,6,UK,FR,H2,6.353909306666667
2050,29,DK,DE,H2,10.976979270833327
2020,104,DK,DE,H2,2.5182476928333335
2050,33,UK,NO,H2,14.218025710501237
2050,8,DK,DE,H2,19.53125
2030,111,DE,FR,H2,2.460387620563793
2050,5,DK,DE,H2,13.650444604999999
2040,54,DK,DE,H2,13.720050642198961
2040,40,DK,DE,Power,6.304926956444747
2020,59,DK,NO,Power,3.901861213382651
2030,25,DE,FR,H2,7.5
2020,31,UK,FR,H2,2.604312584699911
2030,81,DK,NO,H2,2.2453519165000007
2020,57,UK,NO,H2,1.284044649706175
2040,14,DK,DE,H2,13.720050642198961
2040,32,DK,NO,Power,2.4407635630258993
2050,23,DK,DE,H2,1.3094907477616533
2030,13,DE,FR,H2,7.5
2030,27,DE,FR,Power,9.302984993766106
2020,6,UK,FR,H2,5.0
2050,8,UK,FR,H2,0.22713971550000167
2040,90,DK,DE,H2,3.1664628875529863
2040,34,DK,DE,H2,0.619370079333335
2050,36,UK,FR,H2,35.80729166666667
2040,51,DK,DE,H2,4.718679949833333
2050,12,FR,DE,Power,9.480285585666643
2050,21,NO,DK,H2,3.8508864090624986
2050,5,UK,FR,H2,16.276041666666668
2050,24,UK,FR,Power,4.119282400833335
2030,22,DK,DE,H2,7.398931664166666
2050,37,NO,DK,Power,26.14442460475
2050,23,UK,FR,H2,14.156236651000004
2030,17,UK,FR,H2,2.013923164666666
2040,47,UK,FR,H2,9.706119602512704
2040,20,DK,NO,H2,0.5041362568333323
2040,27,DK,NO,H2,0.5725765229999995
2030,26,DE,FR,H2,2.916666666666666
2050,98,FR,DE,H2,12.505340529166693
2040,61,FR,UK,H2,2.916666666666666
2040,90,UK,FR,H2,7.8274187492551475
2020,58,DK,NO,Power,2.8657542190646232
2040,34,UK,FR,H2,9.878030382333337
2040,1,DK,NO,Power,2.4305342196896857
2040,36,UK,FR,Power,3.313974117281845
2050,98,DK,DE,H2,7.025909470833307
2020,15,UK,FR,Power,1.7548024226521193
2050,43,DK,DE,Power,0.3634833161676081
2030,22,UK,FR,H2,6.691752469666666
2020,22,DK,DE,H2,3.652834884833333
2030,63,UK,FR,H2,3.225121331954794
2050,42,FR,DE,Power,2.275684157064134
2030,32,DK,NO,Power,2.401831101849737
2030,34,FR,DE,H2,0.9493284786865757
2020,17,UK,FR,H2,5.0
2050,101,FR,DE,H2,19.00146053212675
2040,44,UK,NO,Power,0.4958104261377029
2030,34,DK,DE,H2,2.149712402313425
2040,95,DK,DE,H2,1.5198865518333329
2050,45,FR,DE,Power,7.526939789110724
2020,54,FR,DE,H2,1.9447356346666673
2050,101,DK,DE,H2,0.5297894678732491
2040,39,DK,DE,H2,8.030839694208368
2020,54,DK,DE,H2,5.0
2030,14,UK,FR,H2,2.916666666666666
2030,98,UK,NO,H2,2.0423478809999995
2040,15,DK,DE,H2,13.720050642198961
