Year,Hour,From,To,Fuel,value
2040,100,DK,DE,H2,9.328452522500005
2020,105,DK,NO,H2,2.1982149259999995
2020,32,DK,NO,Power,3.4024513126666776
2030,47,UK,FR,H2,4.669603064959568
2050,27,DE,FR,H2,6.753797540666671
2040,74,DK,DE,H2,1.7751320144812581
2030,27,DK,NO,H2,2.2057311667762516
2030,90,UK,FR,H2,3.524071306166668
2030,34,UK,FR,H2,3.8168111078532436
2030,36,UK,FR,Power,18.187895510944465
2020,31,DE,DK,H2,0.8275628564936737
2040,95,UK,FR,H2,8.627386567833335
2030,1,DE,FR,H2,7.5
2020,34,DK,DE,H2,0.7088756108333334
2050,115,DK,DE,H2,14.419539147500004
2020,51,DK,DE,H2,0.14766226950000316
2040,57,DK,DE,H2,1.7817543019999995
2050,80,FR,DE,H2,19.53125
2040,4,DE,FR,H2,5.631754213000001
2030,101,UK,NO,H2,3.125
2040,100,UK,FR,H2,9.776735614515106
2020,14,UK,FR,H2,5.0
2050,120,UK,FR,Power,15.603780264152906
2020,47,UK,FR,H2,3.5949425673333333
2020,27,DK,NO,H2,2.5
2020,29,UK,FR,Power,0.43275229266667026
2020,90,UK,FR,H2,5.0
2050,42,UK,FR,Power,28.4936236725
2040,60,DK,DE,Power,2.4754217123931346
2020,34,UK,FR,H2,5.0
2020,36,UK,FR,Power,11.183614864666666
2050,115,UK,FR,H2,16.276041666666668
2030,95,DK,DE,H2,1.2736472201666662
2050,111,DK,DE,Power,17.45492521583334
2030,18,DE,FR,H2,7.5
2030,39,DK,DE,H2,6.921893248666665
2050,13,DK,DE,Power,36.67399689559585
2030,100,DK,DE,H2,7.5
2030,64,DE,FR,H2,5.0
2040,96,UK,FR,H2,1.175764444833332
2050,24,DK,DE,H2,4.088011048749999
2050,109,DK,DE,H2,16.788036224166664
2040,115,UK,FR,Power,7.8247123169999995
2030,95,UK,FR,H2,5.770055192666668
2050,119,DK,DE,H2,7.901182065833334
2040,36,FR,DE,H2,9.152478935166664
2050,41,UK,FR,Power,17.255108677500008
2040,29,DK,DE,H2,0.8719835352866347
2040,75,DK,DE,H2,7.179853860000009
2030,39,UK,FR,H2,7.5
2040,16,UK,FR,Coal,0.02460215976917368
2050,10,DK,DE,Power,71.161352826439
2040,8,DK,DE,H2,1.8004534978333342
2030,106,DK,NO,H2,1.856532626499999
2050,97,NO,DK,H2,0.14011912768604695
2020,39,DK,DE,H2,3.3379062123333325
2040,36,DK,DE,H2,2.877740084833332
2040,31,DK,NO,H2,3.3774978240000015
2040,82,DK,DE,Power,4.138701195894029
2030,4,DE,FR,H2,7.435048991450138
2030,37,NO,UK,H2,2.4213562315000017
2030,100,UK,FR,H2,4.672198673298243
2050,26,DK,DE,Power,10.64793269325001
2040,63,FR,UK,H2,2.916666666666666
2050,24,UK,FR,H2,16.276041666666668
2020,100,DK,DE,H2,5.0
2050,109,UK,FR,H2,15.931712648330972
2030,99,DK,NO,Power,1.8260107114865634
2050,62,FR,DE,H2,17.288594312500003
2020,74,DK,DE,H2,1.0287960309999988
2050,33,DK,DE,H2,5.847066120000003
2050,119,UK,FR,H2,15.797267472500002
2040,23,DK,DE,H2,3.3552639828333337
2030,60,DK,DE,Power,0.24967111533333508
2020,95,UK,FR,H2,5.0
2020,57,FR,DE,H2,0.12216553250000217
2040,75,UK,FR,H2,1.7770158708333312
2040,8,UK,FR,H2,4.331872936833333
2040,36,UK,FR,H2,19.233815305264486
2050,46,DK,DE,Power,3.0847862575000002
2040,52,DK,DE,H2,5.96462684050281
2050,116,DK,DE,Power,4.692080555214707
2040,12,UK,NO,H2,3.90625
2020,15,UK,FR,H2,5.0
2040,24,UK,FR,Power,1.7375421149999966
2020,100,UK,FR,H2,1.7772670873333336
2030,96,UK,FR,H2,1.6863863321666628
2050,12,FR,DE,H2,19.53125
2050,71,NO,DK,Power,0.70097352825
2050,38,DK,DE,Power,15.459677002394423
2040,23,UK,FR,H2,1.4224710263333353
2050,88,FR,DE,H2,15.279862817770836
2030,115,UK,FR,Power,0.852319807333334
2030,36,FR,DE,H2,7.4046703028333365
2040,98,FR,DE,H2,13.082064372100534
2050,88,DK,DE,H2,4.2513871822291645
2030,33,UK,NO,H2,0.9165161985000019
2040,51,FR,UK,H2,10.416666666666666
2030,8,DK,DE,H2,0.1492702136666666
2050,66,DK,DE,Power,7.637502184999999
2050,9,DK,DE,H2,19.53125
2030,36,DK,DE,H2,2.870984025166667
2030,31,DK,NO,H2,5.887156887705796
2040,98,DK,DE,H2,2.542935627899466
2030,104,DK,NO,H2,3.125
2020,96,UK,FR,H2,5.0
2050,11,FR,DE,Power,19.13205720516663
2050,12,UK,FR,H2,17.941795710833333
2050,120,DK,DE,H2,7.286284264880258
2040,101,FR,DE,H2,7.278067352813329
2030,29,UK,FR,H2,3.4962395251666685
2050,88,UK,FR,H2,31.555904484437505
2050,117,DK,DE,H2,20.356956845635967
2050,9,UK,FR,H2,5.082264820500011
2020,29,DK,DE,H2,1.601635426999998
2020,75,DK,DE,H2,3.2274829421503872
2030,36,UK,FR,H2,7.5
2040,22,DK,NO,H2,3.90625
2040,98,UK,FR,H2,7.212071215433866
2040,101,DK,DE,H2,8.346932647186671
2030,54,FR,UK,H2,7.162062519604861
2020,31,DK,NO,H2,2.5
2020,81,DK,NO,Power,1.6940132823566003
2030,119,UK,FR,Power,2.260854023748542
2030,23,UK,FR,H2,7.5
2050,25,NO,DK,H2,1.2635486017499993
2030,98,FR,DE,H2,4.928243377500005
2030,19,DE,FR,H2,7.5
2050,117,UK,FR,H2,11.142042088395726
2030,67,DE,FR,H2,7.5
2020,29,UK,FR,H2,5.0
2030,7,DE,FR,H2,5.89828434188319
2030,51,FR,UK,H2,2.5956001132017557
2050,13,NO,DK,H2,18.389820380905007
2020,8,UK,FR,H2,4.3604836288333235
2040,101,UK,FR,H2,9.748437673333331
2040,115,DK,DE,H2,3.9737445893267154
2020,36,UK,FR,H2,5.0
2030,98,DK,DE,H2,7.454651297166665
2020,52,DK,DE,H2,3.041416785500008
2050,64,DK,DE,Power,3.0561418825
2020,5,UK,FR,H2,4.687699609611636
2050,40,UK,FR,Power,14.523654637500002
2030,105,DE,FR,H2,2.7622582249999983
2040,74,FR,UK,H2,8.249865504166667
2050,10,NO,DK,H2,15.204195546178324
2040,34,DK,NO,H2,2.464039365499999
2050,45,UK,FR,H2,1.007661901675636
2040,5,DE,DK,H2,0.384753099030565
2030,101,FR,DE,H2,5.6636667081521015
2040,51,DK,NO,H2,2.4761068679999996
2030,113,NO,DK,H2,1.2996923715
2040,42,UK,FR,Power,13.08122249766668
2040,115,UK,FR,H2,13.020833333333334
2050,26,NO,DK,H2,7.317996349125
2030,98,UK,FR,H2,2.4899062631666666
2040,30,FR,UK,Power,2.9132761523333244
2020,51,FR,UK,H2,4.78208061766667
2030,101,DK,DE,H2,6.8363332918478985
2020,98,DK,DE,H2,3.6483954563333336
2050,118,DK,DE,H2,7.925185887083332
2020,105,DE,FR,H2,1.5127953688333298
2030,12,UK,FR,Power,2.231048163333334
2030,20,DE,FR,H2,3.4830499979466136
2030,27,DE,FR,H2,7.5
2040,24,DK,DE,H2,4.998321748333334
2040,109,DK,DE,H2,1.7078643858333336
2030,54,DK,NO,H2,7.5
2030,101,UK,FR,H2,6.119991924666666
2030,103,DK,NO,Power,1.4042685753333366
2040,44,UK,NO,H2,3.90625
2040,41,UK,FR,Power,2.681434286666672
2030,115,DK,DE,H2,5.535999113166669
2020,98,UK,FR,H2,1.6437440053333328
2050,118,UK,FR,H2,14.702328347833339
2020,101,DK,DE,H2,4.454340729333335
2050,44,FR,DE,H2,18.610631010249996
2050,107,DK,DE,H2,4.113032177916667
2030,74,FR,UK,H2,6.247716277833334
2040,24,UK,FR,H2,13.020833333333334
2020,27,DK,NO,Power,2.199881251214439
2020,12,UK,FR,Power,2.7716126546666615
2030,117,UK,FR,Power,6.2478749872516195
2030,51,DK,NO,H2,7.5
2040,119,UK,FR,H2,3.973711496510136
2030,115,UK,FR,H2,7.5
2030,111,DK,DE,Power,8.107362932333327
2020,54,DK,NO,H2,1.1419402220000006
2020,101,UK,FR,H2,1.7708402793333313
2030,57,FR,UK,H2,7.5
2020,115,DK,DE,H2,0.5216848438333341
2050,86,FR,DE,H2,15.737304160000003
2040,5,DE,FR,Power,1.811260759272198
2040,74,DK,NO,H2,3.90625
2050,85,FR,DE,H2,19.17826062337629
2050,44,UK,FR,H2,16.746310052916662
2030,24,DK,DE,H2,0.14654854416666696
2020,80,DK,DE,H2,0.362756744710504
2040,12,FR,DE,H2,8.20680006033139
2040,33,UK,FR,H2,2.873255886333336
2030,109,DK,DE,H2,0.8336967816666658
2020,5,DE,DK,H2,1.6666666666666667
2040,35,UK,NO,H2,2.9312981852499997
2040,38,DK,DE,Power,5.738860223000001
2050,85,DK,DE,H2,0.03729857912370926
2020,117,UK,FR,Power,8.187932610666664
2020,51,DK,NO,H2,2.9663717479999994
2050,82,UK,NO,H2,4.0773221171875
2050,114,NO,DK,H2,2.711442266625001
2030,119,DK,DE,H2,2.3979459096666655
2040,57,DK,NO,H2,3.0178348067500007
2050,65,DK,DE,Power,8.320075984999999
2040,12,DK,DE,H2,3.8482284628333345
2020,115,UK,FR,H2,4.504161796333334
2020,111,DK,DE,Power,4.976838445666667
2050,35,FR,DE,H2,17.433493316773976
2040,88,DK,DE,H2,0.5653056946703656
2020,57,FR,UK,H2,4.798069037745026
2040,52,FR,UK,H2,5.953090846166663
2030,106,DE,FR,H2,5.261283896666672
2040,9,DK,DE,H2,4.387092298833332
2050,96,NO,DK,Power,5.792541873875
2050,113,UK,FR,Power,57.82236837318975
2030,53,FR,DE,H2,1.7533560370442913
2050,93,DK,DE,H2,6.892559218979164
2050,35,DK,DE,H2,2.0977566832260237
2050,86,UK,FR,H2,27.06578959316667
2050,3,DK,DE,H2,19.53125
2030,24,UK,FR,H2,4.765724795166667
2050,85,UK,FR,H2,35.45430229004296
2040,6,DE,FR,H2,7.1925397745000055
2030,33,DK,DE,H2,3.3885825241666665
2030,119,UK,FR,H2,4.500456209792393
2020,119,DK,DE,H2,2.825142574337163
2030,118,UK,FR,Power,3.554649527337012
2040,9,UK,FR,H2,6.17693388683333
2050,11,FR,DE,H2,19.53125
2030,100,DK,NO,H2,3.125
2050,30,UK,NO,H2,6.977488821249999
2050,105,DK,DE,Power,7.123819043166662
2050,28,DK,DE,H2,9.001183449583325
2050,93,UK,FR,H2,16.276041666666668
2040,42,DK,DE,H2,1.247912676394305
2030,5,DE,FR,Power,2.023147004000002
2030,74,DK,NO,H2,6.048314114108134
2050,35,UK,FR,H2,14.976107111607316
2020,53,FR,DE,H2,0.5139407449532563
2050,3,UK,FR,H2,16.276041666666668
2050,108,UK,FR,H2,16.253795517666667
2030,30,DE,DK,Power,2.4430406641838696
2050,4,NO,DK,H2,3.3071481510026715
2040,45,FR,DE,H2,11.264012772000001
2020,24,UK,FR,H2,5.0
2040,85,UK,FR,Power,2.425835445823709
2050,102,DK,DE,Power,22.640383965837735
2020,53,DK,DE,H2,2.2617133078333325
2030,33,UK,FR,H2,3.0981395846666633
2020,109,UK,FR,H2,4.194139717833327
2030,35,UK,NO,H2,1.7627806054999997
2040,29,DK,NO,H2,0.8767892735000014
2040,75,DK,NO,H2,0.9791320054999995
2050,43,FR,DE,Power,4.032161548797552
2050,36,NO,DK,Power,8.148201745196575
2020,33,DK,DE,H2,0.8586529218333332
2020,119,UK,FR,H2,3.0000154493333335
2030,57,DK,NO,H2,2.101558818500001
2040,45,DK,DE,H2,4.234773848999998
2030,12,DK,DE,H2,1.8043349786666663
2040,117,UK,FR,H2,6.340782410833333
2020,118,UK,FR,Power,7.006233521999999
2030,88,DK,DE,H2,1.232519588166666
2040,5,DK,NO,H2,1.871448209363899
2030,31,DK,NO,Power,0.3148587949217392
2030,9,DK,DE,H2,2.2393953246666665
2050,37,DK,DE,Power,36.70935199737002
2050,11,UK,FR,H2,28.493429337083327
2050,94,UK,FR,H2,1.8367436954166685
2040,41,DK,DE,H2,2.637294896333334
2050,20,DK,DE,Power,0.017361304749996975
2020,74,DK,NO,H2,2.4981935983333328
2030,44,UK,FR,Power,0.3032093373333282
2030,104,DK,NO,Power,1.1944623982803517
2020,30,DE,DK,Power,0.9866862301392901
2030,6,DE,FR,H2,4.062757359999999
2030,11,UK,NO,H2,2.0704287334868194
2020,33,UK,FR,H2,2.317818445333331
2040,45,UK,FR,H2,11.073729050333332
2050,103,DK,DE,Power,4.679664221666668
2030,12,UK,FR,H2,7.5
2030,120,DK,DE,H2,1.5860661542192944
2020,57,DK,NO,H2,1.215955350293825
2040,52,DK,NO,H2,4.005423801696152
2050,21,DK,DE,H2,10.955560725312496
2040,22,DK,NO,Power,0.0555215056666718
2030,117,DK,DE,H2,7.5
2030,9,UK,FR,H2,7.5
2020,31,DK,NO,Power,2.868394631654016
2020,52,FR,UK,H2,1.9447356346666673
2040,94,UK,FR,Power,2.5729660149999987
2020,31,DE,FR,H2,1.177793172006325
2030,29,DK,NO,H2,7.5
2030,75,DK,NO,H2,7.5
2030,71,DE,FR,H2,7.5
2050,59,UK,NO,H2,4.8828125
2030,45,DK,DE,H2,2.9895463256666672
2020,12,UK,FR,H2,5.0
2020,120,DK,DE,H2,1.8474090378333337
2030,117,UK,FR,H2,7.5
2020,88,UK,FR,H2,3.924761156153692
2050,84,FR,DE,H2,11.046930408218138
2020,117,DK,DE,H2,5.0
2020,9,UK,FR,H2,5.0
2030,42,UK,FR,H2,4.6621274831666675
2050,89,NO,DK,H2,1.8878091506249985
2040,118,UK,FR,H2,9.84390304333333
2030,41,DK,DE,H2,1.5935943096666674
2030,17,DE,FR,H2,7.5
2040,44,FR,DE,H2,11.53691450866667
2050,113,DK,DE,H2,13.718893865833335
2020,29,DK,NO,H2,2.5
2020,75,DK,NO,H2,2.5
2030,45,UK,FR,H2,4.159056815666666
2040,44,DK,DE,H2,1.6115636653333332
2020,120,UK,FR,H2,3.333333333333334
2050,60,FR,DE,H2,16.27201328041245
2030,52,DK,NO,H2,7.5
2020,45,DK,DE,H2,0.9941042183333331
2020,117,UK,FR,H2,5.0
2030,22,DE,FR,H2,3.7249141970000004
2030,11,UK,FR,Power,18.07519621194445
2050,60,DK,DE,H2,3.2592367195875487
2020,42,UK,FR,H2,2.533024358333334
2030,94,UK,FR,Power,1.29710256633334
2030,41,UK,FR,H2,0.520150827166665
2020,35,UK,FR,Power,5.229102062666662
2050,7,NO,DK,H2,8.887416212562501
2050,58,UK,NO,H2,3.3838999406875003
2030,118,DK,DE,H2,7.5
2050,84,UK,FR,H2,27.322972074884806
2050,61,DK,DE,Power,8.214700557507086
2020,3,UK,FR,Power,1.1620373378176367
2020,41,DK,DE,H2,0.09457362033333339
2050,68,FR,DE,Power,15.003533502763034
2030,99,DK,DE,Power,5.047084165846769
2050,113,UK,FR,H2,6.914275784270009
2030,80,FR,UK,H2,3.0847994934237537
2040,44,UK,FR,H2,7.827565305264486
2020,45,UK,FR,H2,2.8132940073333303
2030,116,NO,DK,H2,2.7108513000000007
2050,72,FR,DE,Power,55.884876761205284
2020,52,DK,NO,H2,2.5
2040,62,FR,UK,H2,2.916666666666666
2020,28,UK,FR,Power,0.394659834666669
2030,118,UK,FR,H2,7.5
2030,14,DE,FR,H2,7.5
2040,35,FR,DE,H2,4.032549697749996
2020,11,UK,FR,Power,10.546977636666654
2020,94,UK,FR,Power,0.1674744326666655
2050,82,FR,DE,H2,19.53125
2020,118,DK,DE,H2,3.8802674054833703
2040,80,DK,NO,H2,0.6362788942500011
2040,113,UK,FR,Power,17.10805949400001
2040,93,DK,DE,H2,8.628850965833335
2030,107,DK,DE,H2,0.27260286766666697
2040,35,DK,DE,H2,4.5107169088333325
2020,99,DK,DE,Power,6.223661048666665
2030,34,DK,NO,Power,2.088631163706484
2030,109,FR,UK,H2,1.495658048667666
2030,44,DK,DE,H2,1.0804389936666667
2050,46,FR,DE,Power,3.3283111316756724
2040,85,UK,FR,H2,1.5593352099214872
2050,2,DK,DE,H2,19.53125
2050,20,NO,DK,H2,2.132473434874999
2040,50,UK,FR,H2,1.8906891328333408
2050,32,UK,NO,H2,6.977488821249999
2040,77,DK,DE,H2,6.646746587333338
2020,118,UK,FR,H2,3.333333333333334
2040,74,DK,NO,Power,3.7383666297041462
2050,104,DK,DE,Power,11.985251099166675
2040,28,DK,DE,H2,0.22147009003663598
2040,93,UK,FR,H2,9.525438790333334
2040,74,DE,FR,H2,6.930933525000004
2040,35,UK,FR,H2,9.770714265583324
2040,11,DK,DE,H2,2.389238083000002
2040,94,DK,DE,H2,2.509894623333333
2030,44,UK,FR,H2,7.5
2050,97,FR,DE,H2,19.53125
2050,66,FR,DE,Power,7.17024833217151
2020,51,DK,NO,Power,2.0840021296743156
2040,102,DK,DE,Power,19.407906820666664
2050,2,UK,FR,H2,9.011804654337649
2030,82,UK,NO,H2,3.125
2020,119,DE,FR,Power,9.271202264448982
2050,30,DK,DE,H2,7.221557153333331
2030,35,FR,DE,H2,1.9644674488333287
2050,10,UK,FR,Power,13.359623500121721
2040,37,DK,DE,Power,9.928501287588867
2030,80,DK,NO,H2,0.1951778055000002
2030,113,UK,FR,Power,6.14478819133333
2040,53,DK,NO,H2,4.522138772833335
2030,93,DK,DE,H2,6.412056611666667
2040,94,UK,FR,H2,13.020833333333334
2030,35,DK,DE,H2,4.185086822166667
2040,33,DK,NO,H2,3.90625
2030,3,DK,DE,H2,2.612103327666667
2020,53,FR,UK,H2,1.430794889713411
2020,44,UK,FR,H2,4.540590387333332
2030,40,DK,DE,H2,1.4110894031666663
2050,87,NO,DK,H2,2.1763249360624997
2030,50,UK,FR,H2,2.1127228231666653
2040,103,DK,DE,Power,8.308313002666669
2020,82,UK,NO,H2,2.5
2020,50,DK,DE,H2,1.2969183193624971
2040,21,DK,DE,H2,2.7618609373333327
2030,100,DK,NO,Power,3.3885911435259235
2030,15,DE,FR,H2,7.5
2050,46,UK,FR,Power,16.52228513999999
2030,74,DK,NO,Power,3.455824512117065
2030,105,DK,DE,Power,0.2875901583333338
2030,28,DK,DE,H2,6.365444076815788
2030,93,UK,FR,H2,4.091103745666667
2030,97,UK,NO,H2,2.5706019875000017
2030,74,DE,FR,H2,4.582118200500005
2050,116,UK,FR,Power,11.487106508118629
2030,35,UK,FR,H2,6.747431954433459
2020,80,DK,NO,H2,2.3494617730000007
2020,113,UK,FR,Power,2.600292278666668
2030,3,UK,FR,H2,7.5
2020,93,DK,DE,H2,3.1635069028333334
2030,11,DK,DE,H2,5.909002191166666
2030,94,DK,DE,H2,1.7844111941666672
2050,43,UK,FR,H2,6.531403127916663
2020,86,UK,FR,H2,5.0
2020,35,DK,DE,H2,1.3697418398333328
2030,119,DK,NO,H2,7.5
2030,102,DK,DE,Power,4.6827117793333315
2030,120,DE,FR,Power,9.81370646637425
2050,64,FR,DE,Power,7.945134797580074
2020,50,UK,FR,H2,0.7890393783333343
2020,77,DK,DE,H2,3.704980962333333
2040,5,DE,FR,H2,13.020833333333334
2050,79,FR,DE,H2,40.3535641137111
2050,59,FR,DE,H2,19.53125
2030,28,UK,FR,H2,7.5
2030,53,DK,NO,H2,7.5
2020,28,DK,DE,H2,0.6133373145000007
2020,93,UK,FR,H2,5.0
2030,11,UK,FR,H2,5.4710085777076145
2030,94,UK,FR,H2,7.5
2020,35,UK,FR,H2,5.0
2030,27,DK,DE,Power,10.360380007780831
2020,3,UK,FR,H2,5.0
2020,11,DK,DE,H2,1.7865680203333334
2020,108,UK,FR,H2,2.946189047333333
2050,55,FR,DE,H2,13.884049554909161
2020,119,DK,NO,H2,0.7933036549999999
2050,49,UK,FR,Power,31.04874109854081
2040,113,DK,DE,H2,8.235986909333334
2050,42,NO,DK,Power,19.612747341250007
2020,120,DE,FR,Power,13.649956331666665
2020,57,DK,NO,Power,1.6513343320790161
2050,14,DK,DE,Power,55.46201531229819
2030,21,DK,DE,H2,1.541640785666666
2050,110,DK,DE,H2,17.28260732540478
2020,28,UK,FR,H2,5.0
2040,60,DK,DE,H2,8.094548595636768
2050,111,DK,DE,H2,19.53125
2020,53,DK,NO,H2,2.4673862509999998
2050,114,UK,FR,Power,42.15489420707444
2020,11,UK,FR,H2,5.0
2020,94,UK,FR,H2,5.0
2020,27,DK,DE,Power,0.9091830287855663
2050,25,DK,DE,H2,9.890801036749997
2030,29,DK,NO,Power,4.021517335333332
2040,113,UK,FR,H2,13.020833333333334
2050,58,FR,DE,H2,19.53125
2050,13,DK,DE,H2,19.53125
2030,21,UK,FR,H2,1.7419122611666662
2050,41,NO,DK,Power,9.249108293249996
2050,6,NO,DK,H2,8.887416212562501
2030,5,DE,FR,H2,7.5
2050,10,FR,DE,H2,1.8073007103558076
2050,16,DK,DE,H2,1.308494386250001
2040,82,FR,DE,H2,5.042063718999998
2050,72,FR,DE,H2,18.931778406666623
2050,25,UK,FR,H2,16.276041666666668
2040,78,DK,DE,H2,10.485202001622806
2050,10,DK,DE,H2,17.723949289644192
2030,23,DE,FR,H2,2.916666666666666
2030,120,DK,NO,H2,2.6197447939473704
2030,113,DK,DE,H2,7.156880299166667
2020,29,DK,NO,Power,2.1917380711652967
2020,75,DK,NO,Power,0.5216749693658905
2050,13,UK,FR,H2,9.551531085833327
2030,117,DK,NO,H2,2.8260384231666666
2020,81,UK,NO,Power,1.4090864773680596
2050,26,DK,DE,H2,19.53125
2040,37,NO,DK,H2,3.4702823925000006
2020,21,UK,FR,H2,5.0
2040,2,DK,DE,H2,3.828026450333335
2020,5,DE,FR,H2,1.2219374102216936
2030,60,DK,DE,H2,7.5
2020,118,DE,FR,Power,2.9746851727469923
2050,116,FR,DE,H2,12.576461116774018
2050,10,UK,FR,H2,18.083342377022475
2050,65,FR,DE,Power,13.393723688363973
2040,82,UK,FR,H2,12.771790708333336
2030,113,UK,FR,H2,7.5
2050,39,DK,DE,Power,31.394692062500006
2020,120,DK,NO,H2,0.36524145699999977
2050,116,DK,DE,H2,6.954788883225982
2050,32,DK,DE,H2,1.0420997976826847
2020,113,DK,DE,H2,2.6242654033333332
2050,26,UK,FR,H2,16.276041666666668
2030,10,UK,NO,H2,0.04143731119443217
2040,97,FR,DE,H2,4.013414377999995
2020,52,DK,NO,Power,0.1884195103250854
2040,2,UK,FR,H2,10.318307631333335
2050,100,DK,DE,Power,8.605349639999993
